,fighter_1,weight_1,reach_1,age_1,slpm_1,sapm_1,td_avg_1,sub_avg_1,strk_acc_1,strk_def_1,td_acc_1,td_def_1,wins_1,losses_1,fighter_2,weight_2,reach_2,age_2,slpm_2,sapm_2,td_avg_2,sub_avg_2,strk_acc_2,strk_def_2,td_acc_2,td_def_2,wins_2,losses_2,result,SUB_OVR,KO_OVR,Fighter_1_Odds,Fighter_2_Odds
132,KaiKara-France,125,69,28,5.02,3.84,0.53,0.0,39,66,23,86,22,9,CodyGarbrandt,125,65,30,3.17,4.14,1.05,0.0,38,61,32,83,12,4,1,0,1,110.0,-155.0
133,RaulianPaiva,135,69,26,4.24,4.9,0.62,0.2,43,50,27,75,21,3,SeanO'Malley,135,11,27,8.25,3.59,0.63,0.6,62,65,50,60,14,1,0,0,1,235.0,-375.0
134,JoshEmmett,145,70,36,4.32,4.02,1.43,0.1,39,63,47,50,16,2,DanIge,145,71,30,3.82,3.41,1.38,0.4,46,56,25,55,15,4,1,0,0,-155.0,107.0
135,PedroMunhoz,135,65,35,5.55,6.02,0.62,0.7,43,57,21,80,19,6,DominickCruz,135,68,36,3.65,2.42,2.99,0.1,32,72,46,83,23,3,0,0,0,-125.0,-118.0
136,AugustoSakai,265,77,30,5.1,3.98,0.14,0.0,48,50,50,66,15,3,TaiTuivasa,264,75,28,4.48,3.48,0.0,0.0,50,51,0,46,13,3,0,0,1,-111.0,-120.0
137,JordanWright,185,77,30,7.13,7.49,0.0,0.0,60,39,0,0,12,1,BrunoSilva,185,74,32,5.13,1.96,0.0,0.0,59,37,0,68,21,6,0,0,1,240.0,-375.0
138,AndreMuniz,185,78,31,2.16,1.9,3.12,2.3,58,45,40,40,21,4,ErykAnders,185,75,34,3.2,3.96,1.47,0.1,47,51,32,76,14,5,1,1,0,-200.0,150.0
139,RyanHall,145,10,36,2.3,1.22,0.29,0.9,44,70,11,0,8,2,DarrickMinner,145,69,31,2.96,1.63,3.11,4.0,66,40,70,57,26,12,1,0,0,-286.0,143.0
140,RandyCosta,135,73,27,8.64,6.86,0.0,0.0,46,62,0,0,6,2,TonyKelley,135,70,34,4.57,4.77,0.0,2.0,47,43,0,50,7,2,0,0,1,-210.0,150.0
141,DerrickLewis,260,79,36,2.49,2.48,0.49,0.0,50,41,25,55,25,8,ChrisDaukaus,250,76,32,9.03,3.4,0.0,0.0,53,64,0,0,12,3,1,0,1,110.0,-155.0
142,StephenThompson,170,75,38,4.06,2.75,0.3,0.0,43,58,45,73,16,5,BelalMuhammad,170,11,33,4.61,3.8,1.8,0.2,42,60,28,91,19,3,0,0,0,-240.0,175.0
143,RaphaelAssuncao,135,66,39,3.26,2.33,1.48,0.3,40,68,38,80,27,8,RickySimon,135,69,29,3.08,3.13,6.93,0.4,42,64,54,72,18,3,0,0,1,210.0,-350.0
144,CubSwanson,145,70,38,4.63,3.66,1.08,0.5,50,60,51,60,27,12,DarrenElkins,145,10,37,3.46,3.05,2.67,1.1,38,52,33,56,27,9,1,0,1,-190.0,130.0
145,DustinStoltzfus,185,75,30,3.68,4.0,0.48,0.5,41,46,9,50,13,3,GeraldMeerschaert,185,77,34,3.41,3.75,2.58,1.8,44,52,40,43,33,14,0,1,0,175.0,-265.0
146,JustinTafa,264,74,28,5.15,6.12,0.0,0.0,55,49,0,0,4,3,HarryHunsucker,241,75,32,4.33,8.44,0.0,0.0,51,41,0,0,7,4,1,0,1,-350.0,250.0
147,CharlesJourdain,145,69,26,5.07,4.72,0.0,0.6,46,59,0,50,11,4,AndreEwell,145,75,33,4.35,4.3,0.27,0.1,41,53,66,70,17,8,1,0,0,-235.0,163.0
148,Don'TaleMayes,260,81,29,4.13,4.46,0.23,0.0,45,43,20,59,8,4,JoshParisian,265,79,32,6.53,6.13,0.43,0.4,50,43,14,66,14,4,1,0,1,-200.0,145.0
149,JordanLeavitt,155,71,26,1.33,1.12,3.06,0.8,60,46,40,0,8,1,MattSayles,155,68,27,5.44,3.13,0.0,0.4,42,61,0,81,8,3,1,1,0,-150.0,108.0
150,FrancisNgannou,250,83,36,2.54,2.04,0.2,0.4,41,45,33,72,16,3,CirylGane,245,81,32,5.37,2.4,0.71,0.3,57,62,20,0,10,0,1,0,0,-110.0,-110.0
151,BrandonMoreno,125,70,29,3.44,3.29,2.05,0.8,39,58,47,65,19,5,DeivesonFigueiredo,125,68,35,3.24,3.4,1.54,2.1,56,49,52,58,20,2,0,0,0,-105.0,-125.0
152,MichelPereira,170,73,29,4.22,3.28,2.01,0.8,55,58,62,0,26,11,AndreFialho,170,74,28,0.0,0.0,0.0,0.0,0,0,0,0,14,3,1,0,0,-310.0,215.0
153,CodyStamann,145,64,33,4.03,3.36,2.8,0.0,46,63,44,75,19,4,SaidNurmagomedov,135,70,30,4.65,2.37,0.45,0.0,46,60,7,71,14,2,0,1,0,150.0,-200.0
154,RaoniBarcelos,135,67,35,5.39,4.36,1.79,0.6,52,66,56,92,16,2,VictorHenry,135,68,35,0.0,0.0,0.0,0.0,0,0,0,0,21,5,0,0,0,-600.0,333.0
155,MichaelMorales,170,79,23,3.53,3.47,4.0,0.0,43,34,50,0,12,0,TrevinGiles,185,74,30,3.14,2.01,1.27,0.3,54,60,80,75,14,3,1,0,1,-120.0,-125.0
156,JackDellaMaddalena,170,11,26,7.2,4.27,0.0,0.0,47,65,0,75,10,2,PeteRodriguez,170,71,26,0.0,0.0,0.0,0.0,0,0,0,0,4,0,1,0,1,-450.0,260.0
157,TonyGravely,135,69,31,4.14,3.27,5.57,0.6,54,46,48,50,21,7,SaimonOliveira,135,72,31,3.13,3.13,3.0,0.0,41,55,42,0,18,3,1,0,0,-290.0,195.0
158,MattFrevola,155,71,32,2.73,3.49,2.58,1.1,37,58,37,40,8,3,GenaroValdez,155,72,30,6.28,9.77,0.47,2.6,39,50,50,0,10,0,1,0,1,-227.0,163.0
159,JackHermansson,185,77,34,4.86,3.36,2.09,0.6,45,54,36,75,22,6,SeanStrickland,185,76,31,5.45,3.73,1.32,0.3,40,66,61,82,24,3,0,0,0,180.0,-250.0
160,PunaheleSoriano,185,11,30,4.44,4.2,1.58,0.0,43,54,66,0,8,1,NickMaximov,185,76,25,1.7,1.1,3.0,0.0,49,49,30,0,7,0,0,0,0,-200.0,150.0
161,ShavkatRakhmonov,170,77,28,2.87,1.27,1.27,2.5,56,53,33,0,14,0,CarlstonHarris,170,76,35,5.27,1.27,0.0,2.7,49,77,0,0,17,4,1,0,1,-280.0,180.0
162,SamAlvey,185,75,36,3.29,3.52,0.07,0.1,44,53,16,81,33,16,BrendanAllen,185,75,27,4.32,4.72,1.15,1.6,53,42,35,50,17,5,0,1,0,285.0,-455.0
163,TreseanGore,185,75,28,0.0,0.0,0.0,0.0,0,0,0,0,4,0,BryanBattle,185,77,28,6.34,6.21,2.07,2.1,52,40,0,66,7,1,0,0,0,-175.0,-115.0
164,JulianErosa,145,74,33,5.55,5.9,1.45,0.9,47,50,50,58,26,10,StevenPeterson,145,10,32,4.43,5.29,1.87,0.6,37,55,30,70,19,9,1,0,0,-350.0,225.0
165,MilesJohns,135,66,28,4.03,2.5,0.99,0.0,53,71,30,92,12,1,JohnCastaneda,135,71,31,4.17,5.07,0.86,0.0,49,55,25,60,18,5,0,1,0,-250.0,145.0
166,HakeemDawodu,145,73,31,4.72,2.39,0.0,0.0,46,62,0,67,12,2,MichaelTrizano,145,11,31,3.22,2.36,0.29,0.9,53,58,50,71,10,1,1,0,0,-200.0,135.0
167,ChidiNjokuani,185,80,34,3.54,1.47,0.0,0.0,70,59,0,78,20,7,Marc-AndreBarriault,185,74,32,5.8,4.94,0.35,0.0,46,56,25,70,13,4,1,0,1,-115.0,-125.0
168,JailtonAlmeida,205,79,31,0.29,1.03,6.6,2.2,25,12,60,50,14,2,DaniloMarques,205,77,37,1.56,1.88,4.26,0.8,79,56,28,0,11,3,1,0,1,-455.0,290.0
169,JasonWitt,170,10,36,2.63,3.1,6.46,1.3,49,50,45,0,19,7,PhilRowe,170,80,32,4.97,4.54,0.87,0.0,56,52,33,50,8,3,0,0,1,105.0,-152.0
170,MalcolmGordon,125,71,32,2.4,2.4,1.47,0.0,46,46,18,0,13,5,DenysBondar,125,69,30,0.0,0.0,0.0,0.0,0,0,0,0,16,3,1,0,1,190.0,-350.0
171,IsraelAdesanya,185,80,33,3.94,2.59,0.0,0.2,50,62,0,80,21,1,RobertWhittaker,185,73,32,4.68,3.34,0.64,0.0,41,61,34,83,24,5,1,0,0,-333.0,210.0
172,DerrickLewis,260,79,37,2.52,2.48,0.48,0.0,50,41,25,55,26,8,TaiTuivasa,264,75,29,4.63,3.51,0.0,0.0,52,49,0,50,14,3,0,0,1,-200.0,145.0
173,JaredCannonier,185,11,38,3.6,3.19,0.12,0.0,49,64,33,62,14,5,DerekBrunson,185,77,38,3.45,2.68,3.15,0.5,47,53,34,94,23,7,1,0,1,-175.0,130.0
174,BobbyGreen,155,10,36,5.51,3.56,1.45,0.3,51,62,39,72,28,12,NasratHaqparast,155,10,27,5.19,3.48,0.16,0.0,46,71,14,78,13,4,1,0,0,-165.0,120.0
175,AndreiArlovski,240,77,43,3.7,3.03,0.43,0.2,44,57,36,78,32,20,JaredVanderaa,265,80,30,4.5,5.24,0.4,0.0,50,39,0,20,12,6,1,0,0,-185.0,120.0
176,KylerPhillips,135,72,27,5.2,3.15,3.2,0.3,49,60,55,69,9,2,MarceloRojo,135,71,34,5.1,7.3,1.03,0.0,36,51,50,0,16,8,1,1,0,-600.0,260.0
177,CarlosUlberg,205,77,32,5.07,8.6,0.0,0.0,62,47,0,0,5,1,FabioCherant,205,74,28,2.01,5.57,0.0,0.0,47,34,0,0,7,3,1,0,0,-280.0,165.0
178,DouglasSilvadeAndrade,135,68,37,3.79,4.22,0.69,0.0,38,58,50,66,27,4,SergeyMorozov,135,67,33,2.41,2.45,3.81,0.0,42,64,37,58,17,4,1,1,0,165.0,-235.0
179,WilliamKnight,205,10,34,3.58,2.72,2.05,0.2,65,36,47,45,11,2,MaximGrishin,205,78,38,2.95,2.33,0.38,0.0,44,56,33,66,31,9,0,0,0,140.0,-182.0
180,JohnnyWalker,205,82,30,3.42,2.81,0.24,0.7,59,40,0,62,18,6,JamahalHill,205,79,31,7.45,3.68,0.0,0.0,51,45,0,60,9,1,0,0,1,170.0,-300.0
181,KyleDaukaus,185,76,29,3.19,2.61,1.88,1.9,53,40,27,85,10,2,JamiePickett,185,80,34,3.02,4.17,1.68,0.2,50,46,50,68,13,6,1,1,0,-345.0,220.0
182,ParkerPorter,265,75,37,8.48,7.51,1.42,0.7,51,52,30,0,12,6,AlanBaudot,243,79,34,7.81,8.06,0.0,0.0,61,39,0,75,8,2,1,0,0,-303.0,200.0
183,JoaquinBuckley,185,10,28,4.16,4.21,0.8,0.0,37,51,16,0,13,4,AbdulRazakAlhassan,185,10,37,3.71,4.23,0.53,0.0,48,53,28,55,11,4,1,0,0,-178.0,125.0
184,GabrielBenitez,145,71,34,4.35,3.8,0.15,1.2,39,65,50,56,22,10,DavidOnama,145,11,28,6.0,5.8,0.0,0.0,58,44,0,42,8,1,0,0,1,142.0,-200.0
185,ChasSkelly,145,11,37,2.02,3.35,1.71,2.4,40,48,34,33,18,3,MarkStriegl,145,70,34,3.53,1.18,0.0,0.0,42,25,0,0,18,3,1,0,1,-225.0,160.0
186,ChadAnheliger,135,64,36,3.13,2.07,0.0,1.0,60,52,0,58,11,5,JesseStrader,135,70,31,7.12,7.63,0.0,0.0,56,42,0,0,5,2,1,0,1,-295.0,195.0
187,JonathanPearce,145,71,30,6.79,5.23,7.17,1.0,53,46,57,75,11,4,ChristianRodriguez,145,71,25,5.2,3.13,0.0,0.0,40,60,0,80,7,0,1,0,0,-460.0,270.0
188,MarioBautista,135,69,29,5.71,4.78,0.48,0.0,45,54,33,70,8,2,JayPerrin,135,67,29,2.87,2.6,4.0,0.0,44,47,80,80,10,4,1,0,0,-400.0,260.0
189,IslamMakhachev,155,10,31,2.21,0.79,3.37,1.3,58,70,66,88,21,1,BobbyGreen,155,10,36,5.93,3.65,1.36,0.3,51,62,38,72,29,12,1,0,1,-1250.0,500.0
190,MishaCirkunov,185,77,35,3.77,3.08,4.48,1.7,49,59,44,70,15,7,WellingtonTurman,185,72,26,3.04,3.96,2.22,0.6,47,43,22,0,17,5,0,1,0,-172.0,115.0
191,ArmanTsarukyan,155,72,26,3.59,1.4,3.38,0.0,46,62,34,78,17,2,JoelAlvarez,155,77,29,3.99,3.34,0.0,1.5,43,53,0,0,19,2,1,0,1,-350.0,195.0
192,ArmenPetrosyan,185,71,32,4.49,1.12,0.0,0.0,57,54,0,40,6,1,GregoryRodrigues,185,75,30,5.99,4.35,2.94,0.0,57,58,50,0,11,3,1,0,0,110.0,-200.0
193,AlejandroPerez,135,67,33,3.45,2.97,0.61,0.4,35,63,23,70,23,8,JonathanMartinez,135,70,28,4.53,3.86,0.42,0.0,46,58,37,72,14,4,0,0,0,185.0,-335.0
194,VictorAltamirano,125,70,31,6.67,4.87,4.0,0.0,57,48,50,68,10,1,CarlosHernandez,125,67,29,5.13,3.47,0.0,1.0,46,49,0,68,7,1,0,0,0,-115.0,-182.0
195,ColbyCovington,170,11,34,4.14,3.09,4.1,0.1,38,55,46,72,16,3,JorgeMasvidal,170,11,38,4.22,3.01,1.54,0.3,48,65,59,75,35,15,1,0,0,-357.0,240.0
196,RafaelDosAnjos,155,70,38,3.49,3.22,1.93,0.6,46,61,37,58,30,13,RenatoMoicano,155,11,33,5.12,3.58,2.14,0.8,47,64,53,80,16,4,1,0,0,-200.0,145.0
197,EdsonBarboza,145,11,36,4.11,4.19,0.4,0.1,44,59,44,78,22,10,BryceMitchell,145,10,28,2.29,1.46,3.26,2.3,61,60,46,33,14,1,0,0,0,130.0,-184.0
198,KevinHolland,185,81,30,3.67,2.34,0.9,0.5,54,56,45,50,21,7,AlexOliveira,170,11,34,2.97,2.38,2.27,0.5,51,47,37,63,22,11,1,0,1,-650.0,285.0
199,SergheiSpivac,260,78,27,3.71,3.22,2.72,0.2,49,55,57,70,13,3,GregHardy,265,80,34,4.84,3.22,0.2,0.0,50,56,33,80,7,4,1,0,1,-205.0,142.0
200,JalinTurner,155,77,27,6.2,4.12,0.98,1.9,47,45,75,78,11,5,JamieMullarkey,155,74,28,3.03,4.45,3.5,0.4,40,45,32,66,14,4,1,0,1,-161.0,120.0
201,BrianKelleher,145,66,36,3.49,4.63,1.87,0.8,41,55,42,60,24,12,UmarNurmagomedov,145,69,26,2.89,0.81,8.67,1.7,60,76,45,0,13,0,0,1,0,560.0,-1500.0
202,DevonteSmith,155,76,29,5.1,3.86,0.53,0.5,52,54,0,80,11,3,LudovitKlein,155,72,27,3.35,4.58,2.1,0.0,52,45,44,50,17,4,1,0,0,-161.0,116.0
203,DustinJacoby,205,76,34,5.2,3.63,0.3,0.0,48,58,40,58,16,5,MichalOleksiejczuk,205,74,27,4.8,3.74,0.64,0.0,53,65,40,47,16,4,1,0,0,-222.0,152.0
204,ThiagoSantos,205,76,38,3.95,2.28,0.61,0.1,48,56,36,66,22,9,MagomedAnkalaev,205,75,30,3.6,2.05,1.15,0.0,55,62,31,85,16,1,0,0,0,400.0,-800.0
205,MarlonMoraes,135,67,34,3.34,4.47,0.89,0.4,40,53,41,46,23,9,SongYadong,135,67,25,4.88,3.77,0.46,0.3,42,59,42,60,18,5,0,0,1,220.0,-310.0
206,SodiqYusuff,145,71,29,5.43,3.46,0.0,0.5,48,58,0,68,11,2,AlexCaceres,145,10,34,4.14,2.85,0.55,0.8,51,65,78,64,19,12,1,0,0,-303.0,195.0
207,DrewDober,155,70,34,4.38,4.08,0.82,0.1,40,52,18,55,23,11,TerranceMcKinney,155,10,28,1.65,0.55,3.29,1.6,60,61,33,0,12,3,1,0,1,-170.0,120.0
208,AlexPereira,185,79,35,2.08,0.57,0.0,0.0,61,72,0,71,4,1,BrunoSilva,185,74,33,5.74,2.87,0.0,0.0,60,32,0,68,22,6,1,0,0,-225.0,155.0
209,MatthewSemelsberger,170,75,30,6.16,5.67,0.98,0.5,48,61,0,0,9,3,AJFletcher,170,10,25,4.17,1.67,6.25,0.0,62,76,50,0,9,0,1,0,0,-200.0,145.0
210,TrevinJones,135,70,32,2.22,4.49,1.09,0.0,54,38,15,71,13,7,JavidBasharat,135,69,27,4.93,0.85,3.17,1.1,63,62,60,0,11,0,0,0,0,122.0,-190.0
211,DamonJackson,145,11,34,2.54,3.25,2.48,2.5,38,48,33,35,19,4,KamuelaKirk,145,10,28,3.27,5.8,1.18,1.8,52,30,40,58,12,4,1,1,0,-140.0,-111.0
212,DalchaLungiambula,185,76,35,2.97,3.91,2.05,0.0,43,54,46,75,11,3,CodyBrundage,185,72,28,2.7,1.67,0.86,0.9,61,48,25,73,6,2,0,1,0,-150.0,100.0
213,KrisMoutinho,135,68,30,4.81,5.81,0.0,0.0,32,27,0,0,9,5,GuidoCannetti,135,68,43,3.2,2.87,2.04,0.2,54,50,50,70,8,7,0,0,1,-184.0,120.0
214,TafonNchukwi,205,77,28,6.56,4.13,1.15,0.0,53,55,57,66,6,1,AzamatMurzakanov,225,10,33,3.0,1.33,0.0,0.0,52,63,0,0,10,0,0,0,1,145.0,-227.0
215,AlexanderVolkov,250,80,34,4.86,2.95,0.53,0.1,57,54,70,73,34,9,TomAspinall,256,78,29,7.19,2.37,2.73,1.4,65,70,0,0,11,2,0,1,0,100.0,-152.0
216,ArnoldAllen,145,70,28,2.96,2.15,1.44,0.4,40,66,50,76,17,1,DanHooker,145,75,32,4.9,4.61,0.9,0.2,47,52,36,78,21,11,1,0,1,-121.0,-115.0
217,GunnarNelson,170,11,34,1.71,3.33,1.72,0.9,57,49,55,66,17,5,TakashiSato,170,10,32,3.16,4.81,0.53,0.0,37,50,50,75,16,4,1,0,0,-800.0,360.0
218,JaiHerbert,155,77,34,2.18,2.81,0.0,0.0,36,44,0,30,11,3,IliaTopuria,155,69,25,2.77,1.92,3.35,3.4,48,64,55,0,11,0,0,0,1,400.0,-650.0
219,MikeGrundy,145,72,35,2.14,4.56,3.78,0.4,45,56,26,50,12,3,MakwanAmirkhani,145,10,34,1.37,2.43,4.12,1.1,44,51,43,57,16,7,0,1,0,-305.0,170.0
220,ShamilAbdurakhimov,235,76,41,2.53,2.69,1.14,0.2,43,58,24,47,20,6,SergeiPavlovich,257,84,30,6.55,4.59,0.0,0.0,52,44,0,50,14,1,0,0,1,250.0,-400.0
221,NikitaKrylov,205,77,30,4.33,2.52,1.34,1.3,56,43,33,55,27,8,PaulCraig,205,76,35,2.59,2.39,2.06,1.9,51,50,25,55,15,4,0,1,0,-210.0,155.0
222,JackShore,135,71,27,4.03,1.51,4.47,0.9,58,65,41,0,15,0,TimurValiev,135,67,32,5.35,2.79,1.62,0.0,55,50,33,50,18,2,1,0,0,-140.0,-111.0
223,MuhammadMokaev,125,70,22,0.0,0.0,0.0,0.0,0,0,0,0,6,0,CodyDurden,125,67,31,3.51,4.11,4.05,0.5,46,48,36,60,12,3,0,1,0,-600.0,350.0
224,CurtisBlaydes,265,80,31,3.44,1.65,6.27,0.0,51,59,53,33,15,3,ChrisDaukaus,250,76,33,7.71,3.51,0.0,0.0,53,61,0,0,12,4,1,0,1,-600.0,333.0
225,MattBrown,170,75,41,3.68,2.68,1.52,1.4,54,55,44,64,25,18,BryanBarberena,170,72,33,5.44,4.77,0.19,0.4,48,45,25,58,16,8,0,0,0,-110.0,-125.0
226,AskarAskarov,125,67,30,3.37,2.65,2.75,0.0,55,56,28,64,14,0,KaiKara-France,125,69,29,5.09,3.79,0.51,0.0,40,65,23,87,23,9,0,0,0,-455.0,290.0
227,MarcDiakiese,155,10,29,3.06,2.8,2.13,0.0,38,54,35,62,14,5,ViacheslavBorshchev,155,11,30,6.16,5.08,0.0,0.0,64,56,0,33,6,1,1,0,0,115.0,-158.0
228,NeilMagny,170,80,35,3.67,2.06,2.44,0.3,46,56,42,57,25,9,MaxGriffin,170,11,37,4.35,3.97,1.63,0.4,49,57,53,70,18,8,1,0,0,-300.0,210.0
229,ChrisGutierrez,135,67,31,4.63,2.5,0.48,0.2,59,62,37,75,17,3,BatgerelDanaa,135,70,33,6.28,2.73,0.0,0.0,39,61,0,57,10,2,1,0,1,110.0,-155.0
230,AliaskhabKhizriev,185,74,32,6.0,3.6,8.0,8.0,83,66,50,0,13,0,DenisTiuliulin,185,77,34,0.0,0.0,0.0,0.0,0,0,0,0,10,5,1,1,0,-1400.0,575.0
231,MatheusNicolau,125,66,29,3.88,3.18,1.75,1.2,53,67,47,92,17,3,DavidDvorak,125,68,30,4.46,3.28,0.0,0.5,46,63,0,78,20,3,1,0,0,100.0,-140.0
232,LuisSaldana,145,11,31,4.66,2.92,0.0,0.4,50,61,0,42,15,7,BrunoSouza,145,10,26,3.07,5.0,0.0,0.0,44,39,0,0,10,2,1,0,0,110.0,-159.0
233,VicenteLuque,170,11,31,5.65,5.67,0.64,1.0,54,52,50,64,21,7,BelalMuhammad,170,11,34,4.55,3.61,2.2,0.2,43,59,33,91,20,3,0,0,0,-200.0,140.0
234,CaioBorralho,185,10,29,4.86,2.4,2.7,0.0,64,64,75,0,10,1,GadzhiOmargadzhiev,185,71,29,2.32,0.46,3.47,3.5,66,60,0,0,13,0,1,0,0,-105.0,-139.0
235,MiguelBaeza,170,74,30,4.86,4.97,0.47,1.9,50,54,28,0,10,2,AndreFialho,170,74,28,3.0,7.13,0.0,0.0,33,47,0,75,14,4,0,0,1,-189.0,135.0
236,PatSabatini,145,70,32,1.35,1.44,2.82,2.8,55,53,35,0,16,3,TJLaramie,145,66,25,2.73,3.24,2.56,0.0,51,26,50,0,12,4,1,0,0,-750.0,335.0
237,MounirLazzez,170,76,35,5.69,4.78,3.41,0.0,55,45,0,60,10,2,AngeLoosa,170,10,29,4.27,7.2,1.0,1.0,34,52,25,0,8,2,1,0,0,-5000.0,155.0
238,DevinClark,205,75,32,3.13,2.64,2.51,0.1,56,46,34,56,12,6,WilliamKnight,205,10,34,3.18,3.06,2.22,0.2,60,33,42,45,11,3,1,0,1,-190.0,137.0
239,DrakkarKlose,155,70,34,3.89,3.64,1.56,0.0,53,53,30,68,11,2,BrandonJenkins,155,71,31,2.81,5.9,0.0,0.0,39,35,0,25,15,8,1,0,1,-800.0,400.0
240,RafaGarcia,155,70,28,3.53,5.47,4.0,0.3,35,53,44,70,13,2,JesseRonson,155,10,37,3.54,2.99,0.63,0.6,49,59,40,61,21,10,1,1,0,100.0,-160.0
241,ChrisBarnett,265,75,36,4.9,6.21,0.0,0.0,45,40,0,0,22,7,MartinBuday,265,77,31,4.66,2.64,0.0,0.0,88,38,0,0,9,1,0,0,0,240.0,-300.0
242,JordanLeavitt,155,71,27,1.31,1.31,2.81,2.2,55,53,31,0,9,1,TreyOgden,155,11,33,0.0,0.0,0.0,0.0,0,0,0,0,15,4,1,0,0,110.0,-148.0
243,ClayGuida,155,70,41,2.53,2.76,3.26,0.7,34,62,38,68,37,18,ClaudioPuelles,155,10,26,2.07,2.98,2.87,1.0,51,46,38,55,12,2,0,1,0,-113.0,-125.0
244,LandoVannata,155,71,30,4.67,4.77,1.12,0.3,44,54,40,68,12,5,CharlesJourdain,145,69,27,5.7,4.57,0.0,0.5,49,60,0,48,12,4,0,1,0,-110.0,-139.0
245,JordanWright,185,77,31,8.09,8.29,0.0,0.0,63,38,0,0,12,2,Marc-AndreBarriault,185,74,32,5.81,5.06,0.35,0.0,46,56,25,70,13,5,0,1,0,150.0,-220.0
246,DwightGrant,170,76,38,3.1,2.21,0.6,0.0,33,62,0,70,11,4,SergeyKhandozhko,170,74,30,2.83,1.7,0.5,0.0,42,60,16,64,27,6,0,0,1,-105.0,-135.0
247,TysonPedro,205,79,31,2.7,2.55,0.74,1.5,62,48,25,52,7,3,IkeVillanueva,205,73,38,4.35,7.91,0.74,0.0,40,37,50,0,18,13,1,0,1,-900.0,400.0
248,PrestonParsons,170,11,27,6.08,1.89,0.0,0.0,53,45,0,0,9,3,EvanElder,170,10,25,0.0,0.0,0.0,0.0,0,0,0,0,7,0,1,0,0,-172.0,124.0
249,MarcinPrachnio,205,74,34,6.28,4.1,0.0,0.0,51,57,0,0,15,5,PhilipeLins,240,78,37,2.66,3.68,0.0,0.0,40,49,0,0,14,5,0,0,0,-143.0,-105.0
250,RobFont,135,71,35,5.64,3.55,1.1,0.5,44,59,36,55,19,5,MarlonVera,135,70,30,4.08,4.27,0.82,1.3,51,50,42,69,18,7,0,0,0,-135.0,-115.0
251,AndreiArlovski,240,77,43,3.72,3.09,0.42,0.2,44,57,36,78,33,20,JakeCollier,230,78,34,5.59,4.43,0.62,0.5,42,52,26,67,13,6,1,0,0,-270.0,230.0
252,AndreFili,145,11,32,3.8,3.86,2.5,0.2,36,52,50,68,21,8,JoandersonBrito,145,72,27,3.33,3.13,2.98,0.0,47,50,62,0,12,3,0,0,1,-278.0,194.0
253,JaredGordon,155,68,34,5.22,3.12,2.54,0.0,56,59,39,50,18,4,GrantDawson,155,10,28,3.06,2.05,3.36,1.3,50,49,32,40,17,1,0,1,0,136.0,-220.0
254,DarrenElkins,145,10,38,3.44,3.09,2.65,1.1,38,52,32,56,27,10,TristanConnelly,145,10,37,2.77,1.93,0.5,0.5,47,51,14,70,14,7,1,0,0,-190.0,137.0
255,KrzysztofJotko,185,77,33,2.92,2.24,1.15,0.1,41,57,34,83,23,5,GeraldMeerschaert,185,77,35,3.11,3.43,2.42,2.0,44,52,41,35,34,14,1,0,0,-225.0,140.0
256,AlexandrRomanov,262,75,32,4.26,1.43,5.58,1.3,52,43,65,20,15,0,ChaseSherman,250,78,33,6.19,6.37,0.0,0.0,45,51,0,77,15,9,1,1,0,-2300.0,1100.0
257,DanielDaSilva,125,70,26,3.47,8.15,0.0,0.0,80,24,0,0,11,2,FranciscoFigueiredo,125,68,33,1.9,2.57,3.0,0.0,58,64,75,87,12,4,0,1,0,-143.0,100.0
258,NatanLevy,155,71,31,2.51,1.7,2.89,1.2,41,60,55,46,6,1,MikeBreeden,155,10,33,4.04,6.61,0.0,0.0,34,46,0,81,10,4,1,0,0,-235.0,160.0
259,CharlesOliveira,155,10,33,3.44,3.13,2.5,2.8,53,52,41,57,32,8,JustinGaethje,155,11,34,7.5,7.81,0.0,0.0,60,55,0,73,23,3,1,1,0,-165.0,110.0
260,MichaelChandler,155,71,36,5.17,4.98,1.73,1.1,46,44,33,71,22,7,TonyFerguson,155,11,38,5.15,3.78,0.42,1.1,45,59,42,67,26,6,1,0,1,-400.0,270.0
261,MauricioRua,205,76,41,3.57,2.71,2.12,0.8,50,54,48,47,27,12,OvinceSaintPreux,205,80,39,2.65,3.07,1.21,0.6,46,45,38,66,25,16,0,0,0,200.0,-286.0
262,RandyBrown,170,78,32,4.21,3.11,0.86,0.6,48,52,43,71,14,4,KhaosWilliams,170,77,28,5.0,3.38,0.0,0.0,38,49,0,50,13,2,1,0,0,-115.0,-135.0
263,FranciscoTrinaldo,170,70,44,3.04,2.62,1.03,0.5,43,60,44,59,27,8,DannyRoberts,170,74,35,3.24,3.01,0.3,0.3,43,54,11,56,18,5,1,0,0,-120.0,-145.0
264,BrandonRoyval,125,68,30,3.16,2.57,0.73,2.2,36,48,0,39,13,6,MattSchnell,125,70,32,4.23,4.17,0.39,1.0,38,59,33,50,15,5,1,1,0,-270.0,200.0
265,BlagoyIvanov,250,11,36,3.32,4.15,1.06,0.2,40,54,54,75,18,4,MarcosRogeriodeLima,253,75,37,3.39,2.12,1.14,0.6,54,54,66,47,19,8,1,0,0,-158.0,120.0
